class;cap-diameter;cap-shape;cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-color;has-ring;ring-type;habitat;season
e;6.86;x;t;y;f;e;c;w;6.34;12.62;w;t;g;d;u
e;5.98;f;h;n;f;s;c;y;8.21;12.57;n;f;f;d;a
p;3.89;s;d;o;f;d;c;o;2.67;5.49;o;f;f;d;a
e;9.75;p;y;n;t;e;c;p;8.47;16.51;w;t;l;d;a
e;4.0;b;g;w;f;x;d;w;4.37;2.98;y;f;f;g;u
p;7.89;s;t;n;f;x;c;y;5.08;15.0;y;f;f;d;a
p;7.13;c;e;w;t;x;c;r;7.03;12.87;w;f;f;g;u
p;1.84;b;g;o;f;a;c;n;6.11;2.53;n;f;f;m;s
p;4.21;s;k;n;f;p;c;n;3.06;4.4;n;t;f;d;u
p;20.7;s;k;w;t;d;d;n;7.67;29.77;w;f;f;d;u
p;2.32;b;t;g;f;a;c;n;9.04;2.42;n;f;f;g;u
e;7.7;x;d;y;t;p;c;r;5.72;12.84;y;f;f;d;a
e;7.8;x;t;n;f;p;d;y;7.7;12.82;n;f;f;h;u
p;2.75;o;l;g;f;f;f;f;0.0;0.0;f;f;f;d;u
e;2.84;x;t;b;f;a;d;u;6.78;5.33;w;f;f;d;w
p;2.99;f;w;u;f;a;c;g;3.85;4.71;u;f;f;l;u
e;16.17;f;s;n;t;e;c;n;9.38;17.7;w;t;l;m;u
p;8.74;o;t;n;f;f;f;f;2.75;23.08;n;f;f;d;u
p;1.41;x;t;n;f;a;c;n;4.99;2.6;n;f;f;g;a
p;10.06;f;t;n;f;x;c;w;10.08;12.01;w;f;f;d;u
e;3.81;b;g;n;f;x;d;w;4.54;3.09;y;f;f;g;u
e;11.06;f;e;n;f;a;c;w;6.66;23.36;w;f;f;l;a
p;8.53;s;h;r;t;d;c;w;4.7;13.9;n;f;f;d;a
e;3.45;f;t;n;f;d;c;o;5.72;6.74;w;f;f;d;w
p;2.52;f;t;u;f;a;c;n;3.81;3.43;u;f;f;p;a
p;5.47;b;y;n;f;a;c;w;7.85;10.53;w;t;z;d;w
p;6.25;x;s;g;t;s;d;r;5.57;15.74;n;f;f;d;a
p;6.55;x;e;e;f;a;c;y;7.98;10.25;e;t;z;d;a
e;6.71;s;l;w;f;d;c;w;3.34;9.4;w;f;f;g;u
e;9.0;x;i;n;t;e;c;p;8.48;16.32;w;t;p;l;a
p;4.03;x;t;o;f;a;c;y;5.53;6.51;o;f;f;g;u
p;3.1;b;y;n;f;a;c;g;5.89;4.43;w;f;f;d;a
p;3.29;o;l;g;f;f;f;f;0.0;0.0;f;f;f;d;w
p;9.39;o;t;n;f;f;f;f;3.66;25.43;n;f;f;d;u
p;1.38;x;g;y;f;d;d;n;1.72;2.48;n;f;f;h;u
e;7.45;x;h;n;f;p;d;y;7.65;11.77;n;f;f;d;a
e;10.83;x;t;n;t;a;c;w;11.48;16.76;w;t;g;d;a
e;7.61;x;d;n;t;p;c;y;7.33;16.19;y;f;f;d;u
p;3.38;x;k;w;f;s;c;p;3.94;2.83;n;f;f;g;u
p;2.93;o;t;k;f;f;f;f;3.44;14.52;n;f;f;d;u
p;5.63;p;y;g;f;a;c;g;6.5;9.81;w;t;z;g;u
p;3.04;o;l;g;f;f;f;f;0.0;0.0;f;f;f;d;w
e;8.29;x;s;k;f;a;c;w;5.76;18.98;w;f;f;d;a
e;3.3;s;t;y;f;f;f;f;6.19;6.66;y;f;f;d;a
e;9.08;s;t;n;f;a;c;w;4.34;23.52;n;f;f;d;a
e;19.13;p;y;w;f;a;c;w;31.36;20.64;n;t;m;m;u
p;4.53;s;k;n;f;p;c;n;3.27;5.98;n;t;f;d;u
e;6.36;x;h;n;f;x;c;n;6.22;6.49;n;t;r;d;a
p;4.16;x;i;e;f;a;c;e;5.21;7.6;e;f;f;d;a
e;8.17;x;t;n;f;p;d;y;7.8;12.83;n;f;f;d;u
e;3.98;f;d;n;t;d;c;p;4.72;6.23;g;f;f;d;u
p;0.85;x;g;o;f;a;c;y;3.83;0.79;y;f;f;d;u
e;7.39;f;s;n;f;s;c;w;5.53;9.71;n;f;f;l;u
e;7.15;x;t;n;t;p;c;g;11.37;24.38;w;f;f;d;a
p;1.55;b;g;w;f;a;c;n;5.31;3.05;n;f;f;d;a
e;15.71;x;y;n;t;e;c;w;9.07;16.78;w;t;f;d;u
p;4.67;x;t;y;f;s;d;y;5.54;12.34;y;f;f;d;a
e;6.77;x;t;n;f;e;c;w;13.07;12.12;w;f;f;d;u
e;7.54;x;t;y;f;p;c;y;7.34;14.79;y;t;f;d;a
e;1.49;x;w;n;f;a;d;g;5.04;2.44;w;f;f;g;w
p;5.21;x;s;r;t;s;d;w;5.06;12.55;w;f;f;d;a
e;9.43;x;s;n;f;e;c;w;6.6;9.84;n;f;f;d;a
e;16.04;f;s;n;f;a;d;k;7.26;22.93;w;f;f;d;a
p;4.62;c;k;y;t;x;c;p;8.02;12.59;w;f;f;d;u
p;3.92;o;t;w;f;f;f;f;6.44;32.29;w;t;f;p;a
e;1.45;x;t;n;f;d;c;w;5.57;1.83;y;f;f;h;a
p;7.42;x;h;n;f;x;c;w;17.13;9.55;n;f;f;d;u
p;3.84;f;t;n;f;x;c;p;8.0;3.92;n;f;f;d;a
p;14.87;f;k;n;f;d;c;y;5.53;36.73;n;f;f;d;a
p;2.75;f;w;o;t;d;c;y;3.54;6.58;n;f;f;d;a
e;8.37;x;s;u;f;a;c;w;3.42;15.05;w;f;f;d;a
e;7.2;x;h;y;t;x;c;y;7.97;16.33;w;f;f;d;a
p;1.41;b;h;n;f;a;c;n;4.13;1.36;n;f;f;g;u
e;19.13;x;s;n;f;a;d;k;8.42;25.2;w;f;f;d;u
p;6.7;s;t;e;t;d;c;p;6.54;5.88;e;f;f;d;a
e;5.11;x;y;g;f;s;c;y;3.74;6.34;w;f;f;d;u
p;6.73;x;y;w;t;a;c;w;7.66;12.36;w;t;l;d;a
p;4.2;c;i;y;f;a;c;r;6.18;6.84;w;f;f;d;a
p;3.28;f;s;g;f;d;c;w;2.93;7.45;w;f;f;g;u
p;3.31;b;y;n;f;a;c;u;6.11;4.47;w;f;f;d;a
p;5.23;c;k;w;t;x;c;p;7.37;11.99;w;f;f;d;a
p;12.11;x;e;n;t;p;c;o;8.57;23.4;y;f;f;d;a
e;6.57;c;t;n;f;e;c;w;13.41;11.69;w;f;f;d;u
p;5.31;c;i;y;f;a;c;n;6.71;7.53;w;f;f;d;a
e;7.02;x;d;n;t;p;c;y;5.33;11.61;y;f;f;d;u
p;2.97;b;t;n;f;a;c;n;8.36;2.45;g;f;f;g;u
p;7.83;x;d;n;t;d;c;n;8.55;8.94;n;f;f;d;a
p;7.9;s;d;e;t;d;c;y;5.9;8.66;n;f;f;d;u
e;1.41;c;g;n;t;a;c;w;5.84;1.13;n;f;f;h;u
p;2.92;o;t;k;f;f;f;f;3.03;14.9;n;f;f;d;a
e;11.4;f;s;w;f;e;c;p;24.63;14.03;w;t;e;u;a
e;6.13;x;y;n;f;e;c;p;5.68;10.28;n;f;f;d;a
p;2.75;s;s;w;f;d;c;w;3.04;7.67;w;f;f;g;a
e;2.77;x;t;b;f;a;d;w;6.98;4.74;w;f;f;d;u
p;1.36;o;k;n;f;a;c;n;4.05;1.45;n;f;f;d;w
e;5.89;x;t;y;f;e;c;w;5.95;12.21;w;t;g;d;a
e;6.28;s;t;n;f;d;c;w;5.61;9.09;w;f;f;l;a
p;7.59;p;g;n;f;e;c;w;7.84;16.8;w;t;p;d;a
p;3.37;b;y;n;f;a;c;w;6.23;4.42;w;f;f;d;u
p;5.82;b;d;n;f;a;c;y;6.3;6.44;n;t;f;d;a
p;6.9;p;g;n;f;e;c;w;6.87;14.36;w;t;p;d;u
e;8.78;x;t;n;t;a;c;w;9.54;17.55;w;t;g;d;a
e;4.52;f;t;o;f;a;d;y;5.36;5.17;o;f;f;d;w
e;7.36;x;s;n;t;p;c;y;5.98;16.14;n;t;p;d;u
e;3.19;x;s;w;f;d;d;w;3.07;6.14;w;f;f;g;a
e;5.92;p;t;g;f;f;f;f;6.09;21.48;n;f;f;l;s
e;8.82;x;d;y;t;p;c;y;7.7;15.06;y;f;f;d;u
e;4.97;x;t;l;f;a;c;r;6.75;7.74;r;f;f;l;a
e;3.31;s;d;g;t;d;c;p;4.11;6.07;n;f;f;d;u
e;6.54;f;w;y;f;f;f;f;5.12;16.13;y;f;f;d;a
p;6.55;s;d;n;t;d;c;w;5.59;8.13;e;f;f;d;a
p;2.77;x;g;e;f;a;c;w;6.86;2.56;w;f;f;d;a
p;0.73;x;t;o;f;d;c;o;4.42;0.99;o;f;f;g;u
e;11.91;s;t;p;t;d;c;o;6.61;17.97;w;f;f;d;a
e;8.53;x;t;n;t;p;c;g;11.6;28.28;w;f;f;d;a
p;8.63;x;t;w;f;x;c;w;9.87;10.22;w;f;f;d;a
p;3.41;x;s;y;f;a;c;y;8.98;8.32;y;t;z;d;s
p;2.44;x;g;n;f;a;c;w;6.44;2.49;n;f;f;d;a
p;7.63;x;t;e;f;x;d;w;6.16;18.37;w;f;f;d;a
p;8.79;x;s;n;f;s;c;n;5.75;8.3;n;f;f;d;a
e;8.06;x;t;y;f;p;c;y;7.06;14.64;y;t;f;d;a
e;0.82;p;g;w;f;a;c;g;2.98;1.39;w;f;f;d;s
p;3.18;o;t;g;f;f;f;f;3.45;14.43;g;f;f;d;a
e;6.63;s;t;y;f;a;c;w;5.61;15.24;g;f;f;d;w
p;8.3;s;t;o;t;d;c;o;4.36;11.79;w;t;f;d;a
p;7.96;x;y;w;t;a;c;g;8.38;12.98;w;t;l;g;u
p;6.01;x;y;y;f;a;c;y;8.63;10.54;y;t;f;d;a
e;9.07;p;t;g;f;a;c;w;7.88;14.06;w;f;f;g;u
p;8.45;f;h;e;f;x;d;w;6.06;18.23;w;f;f;d;a
e;8.19;x;t;n;t;p;c;g;11.01;24.1;w;f;f;d;u
p;2.8;o;l;g;f;f;f;f;0.0;0.0;f;f;f;d;u
p;2.5;f;w;u;f;a;c;u;4.89;5.19;u;f;f;l;a
p;3.07;b;s;y;f;a;c;y;8.12;7.08;y;t;z;d;a
p;4.27;o;t;w;f;f;f;f;5.6;31.39;w;t;f;p;a
p;0.79;x;t;o;f;d;c;o;3.81;0.96;y;f;f;g;u
e;0.98;x;g;e;t;a;c;p;5.95;0.96;n;f;f;d;a
p;1.88;o;k;n;f;a;c;n;3.56;1.43;n;f;f;d;a
p;3.69;f;d;n;f;x;c;y;4.26;2.65;n;f;f;l;u
p;4.28;f;l;n;f;x;d;y;5.23;4.24;y;f;f;d;u
p;10.77;f;h;r;f;a;c;w;11.18;16.77;w;t;p;d;u
e;0.71;b;g;g;f;a;c;g;2.44;1.35;w;f;f;d;s
e;18.13;x;t;k;f;a;d;y;8.19;22.69;w;f;f;d;u
e;7.03;p;y;w;f;e;c;p;4.49;11.76;w;t;e;g;a
e;6.74;x;t;w;f;e;c;w;5.92;12.06;y;t;g;d;u
p;14.35;x;g;o;f;e;c;w;18.63;17.03;w;t;g;d;u
p;1.08;x;g;w;f;a;d;w;2.89;1.39;n;f;f;l;a
e;3.67;x;t;y;f;a;c;o;2.48;7.19;w;f;f;d;u
p;7.91;b;y;w;f;a;c;p;15.24;17.32;w;f;f;d;a
p;4.28;x;y;n;f;a;c;w;5.58;3.55;n;t;r;g;u
p;1.29;b;t;g;f;a;c;g;4.89;1.85;n;f;f;d;a
p;8.18;o;e;r;f;a;c;o;1.75;17.05;n;f;f;d;w
p;7.51;f;t;n;f;x;c;w;10.5;12.0;w;f;f;d;u
e;5.91;p;t;g;f;f;f;f;5.84;21.45;n;f;f;l;s
p;5.66;x;e;e;f;a;c;g;8.47;10.16;y;t;z;d;a
e;1.54;c;g;n;f;a;c;g;5.09;1.39;g;f;f;l;u
e;3.33;x;s;w;f;d;d;w;2.51;4.88;w;f;f;m;a
e;5.06;x;w;y;f;f;f;f;4.78;13.19;y;f;f;d;a
e;8.99;x;h;n;t;p;c;y;8.61;22.31;n;f;f;d;a
e;13.12;f;t;w;f;d;c;y;2.77;18.16;w;f;f;d;a
p;3.17;c;t;w;f;a;c;n;3.23;3.46;u;f;f;p;a
p;3.01;b;t;r;f;a;c;r;5.42;6.45;r;f;f;m;u
e;7.47;x;y;w;f;e;c;p;4.67;12.58;w;t;e;g;a
e;3.36;x;t;w;f;x;c;n;7.48;7.62;n;t;f;g;s
e;4.37;x;t;n;f;p;c;n;5.32;12.22;n;f;f;d;u
p;2.92;b;s;y;f;a;c;k;8.94;7.68;y;t;z;d;u
e;11.4;f;e;b;f;a;c;b;4.49;18.85;w;t;f;d;a
e;25.29;x;t;n;f;p;c;w;14.98;83.3;n;f;f;d;a
e;7.14;f;g;o;f;s;c;n;8.14;11.63;o;f;f;d;a
e;3.18;x;s;w;f;d;d;w;3.23;5.43;w;f;f;g;a
p;14.16;f;h;o;f;e;c;w;16.76;17.01;w;t;p;d;a
e;5.98;p;t;n;f;f;f;f;5.39;18.52;n;f;f;d;s
p;1.58;x;g;n;f;d;d;n;2.13;2.59;n;f;f;h;u
e;0.8;p;g;g;f;a;c;g;2.55;1.47;w;f;f;d;a
p;7.62;x;y;w;t;a;c;w;8.87;16.18;w;t;l;g;u
e;13.9;f;s;n;t;e;c;g;11.56;17.8;w;t;l;m;u
e;7.97;x;s;y;f;a;d;w;8.69;12.56;n;t;f;d;u
e;8.36;f;s;e;f;d;d;w;8.42;15.33;n;t;f;d;a
p;2.05;b;t;n;f;a;c;g;4.93;1.88;n;f;f;d;u
p;5.35;b;s;n;f;a;c;g;6.9;10.92;w;t;z;d;u
p;6.93;b;y;g;f;a;c;k;11.95;12.94;w;t;z;d;s
p;5.21;x;s;k;f;e;c;y;6.84;6.98;k;f;f;m;u
p;18.07;f;d;n;f;d;c;y;6.32;36.93;n;f;f;d;a
e;1.63;f;w;n;f;a;d;g;5.43;2.71;w;f;f;g;u
p;4.92;f;t;n;f;d;c;w;4.33;8.94;n;f;f;d;a
e;6.45;x;d;b;f;d;d;b;6.32;12.34;w;f;f;m;a
e;6.92;p;s;w;f;e;c;n;4.85;13.39;w;t;e;m;u
e;8.76;p;t;n;f;a;c;w;8.39;13.03;w;f;f;g;a
p;19.35;f;d;n;f;d;c;y;7.34;38.52;k;f;f;d;u
e;6.1;x;t;y;f;e;c;w;6.4;14.12;y;t;g;d;u
p;14.81;x;s;n;t;p;c;o;9.39;31.45;y;f;f;d;a
p;8.85;x;s;n;f;s;c;n;6.66;9.34;n;f;f;d;a
p;1.94;x;g;n;f;d;d;n;1.94;2.58;n;f;f;h;u
p;9.12;x;e;n;f;a;c;n;11.46;16.35;n;f;f;h;a
p;4.31;b;h;n;f;a;c;n;9.32;6.19;w;t;f;g;a
p;8.29;b;t;w;f;e;c;w;10.79;10.79;w;t;l;d;a
e;8.3;x;s;n;f;e;c;w;5.79;9.86;w;f;f;d;w
p;13.84;x;k;n;t;p;c;y;9.12;31.6;y;f;f;d;a
p;4.21;c;i;y;f;a;c;r;6.16;7.51;w;f;f;d;u
e;10.76;x;y;n;t;e;c;p;9.54;18.58;w;t;l;l;a
e;5.4;s;t;n;f;d;c;w;4.89;9.04;w;f;f;d;u
p;10.74;x;d;y;f;a;c;o;11.79;23.19;y;t;r;d;u
e;5.38;x;t;g;f;a;d;n;6.48;4.91;w;t;l;d;u
p;1.18;c;t;u;f;a;c;w;2.76;3.35;u;f;f;d;a
p;10.14;x;y;y;f;a;c;y;13.34;12.22;y;t;f;d;u
p;8.72;x;e;n;f;a;c;n;11.54;18.23;n;f;f;h;a
p;6.18;b;s;e;f;e;c;k;8.75;8.52;k;f;f;g;u
p;4.86;s;d;o;f;d;c;y;3.3;6.34;o;f;f;d;a
e;5.47;f;y;n;f;s;c;g;4.35;7.06;w;f;f;d;u
e;0.88;f;g;n;t;a;c;p;5.52;1.03;n;f;f;d;a
e;14.66;f;e;g;f;d;c;w;7.66;24.45;w;f;f;l;a
e;4.35;f;t;n;f;d;c;o;6.06;7.64;o;f;f;d;w
p;0.84;b;t;n;f;a;c;k;3.77;2.64;n;t;f;m;a
e;3.91;x;t;n;f;d;c;o;6.05;7.12;o;f;f;d;a
p;6.09;f;t;y;f;s;d;y;6.14;13.81;y;f;f;d;a
p;8.54;b;y;w;f;a;c;p;16.99;18.77;w;f;f;d;a
p;11.53;s;t;r;t;d;c;n;6.44;15.04;n;f;f;h;a
p;7.37;b;y;n;f;a;c;k;18.22;18.66;w;f;f;d;a
e;8.08;f;s;w;t;e;c;g;9.87;17.34;w;t;r;m;u
e;3.74;b;g;w;f;x;d;w;4.77;2.94;y;f;f;g;a
p;0.64;x;t;o;f;d;c;o;3.28;0.7;o;f;f;g;a
p;3.4;x;k;n;f;s;c;p;4.38;3.06;n;f;f;g;u
e;11.98;s;t;u;f;s;c;u;8.46;23.61;u;f;f;d;a
p;3.42;b;y;n;f;a;c;w;4.75;4.24;w;f;f;d;u
e;7.5;f;s;n;f;s;c;w;6.84;11.29;n;f;f;l;u
e;7.97;f;t;n;f;s;c;n;9.35;12.34;o;f;f;d;a
e;6.45;x;y;n;f;e;c;p;5.96;10.89;n;f;f;d;a
e;1.39;x;s;y;f;a;c;w;5.34;1.98;y;f;f;h;u
e;3.71;b;y;n;f;a;c;n;7.1;4.01;w;f;f;d;s
p;11.88;f;t;g;t;d;c;n;4.4;21.98;g;f;f;d;a
p;14.34;x;k;n;t;p;c;o;8.7;30.96;y;f;f;d;a
p;8.21;f;w;p;f;s;c;p;4.29;9.63;p;f;f;d;a
p;4.98;x;t;l;f;s;c;g;5.25;7.17;w;t;e;d;u
